student,1.a,comment,1.b,comment,1.c,comment,1.d,comment,1.e,comment,1.f,comment,1.g,comment,1.h,comment
A0231891A,"select 
  distinct cc.ssn 
from 
  credit_cards cc, 
  transactions t 
where 
  cc.number = t.number 
  and t.datetime BETWEEN TIMESTAMP '2017-12-25 00:00:00' 
  AND TIMESTAMP '2017-12-25 23:59:59' 
  and cc.type = 'visa';",,"select a.first_name, a.last_name
from
	(select cc.ssn, c.first_name, c.last_name
	from customers c, credit_cards cc
	where c.ssn = cc.ssn
	and c.country = 'Singapore'
	and cc.type = 'jcb'
	group by cc.ssn, c.first_name, c.last_name
	intersect 
	select cc.ssn, c.first_name, c.last_name
	from customers c, credit_cards cc
	where c.ssn = cc.ssn
	and c.country = 'Singapore'
	and cc.type = 'visa'
	group by cc.ssn, c.first_name, c.last_name) a;",,"select c.ssn, count(cc.number)
from customers c 
left outer join credit_cards cc 
on cc.ssn = c.ssn
group by c.ssn
order by c.ssn Asc, count Asc;",,"select c.ssn, c.type, count(cc.number)
from( 
	(select ssn
	from customers) a
	cross join
	(select distinct type 
	from credit_cards) b
	) c
left join credit_cards cc 
on (cc.type, cc.ssn) =  (c.type, c.ssn)
group by c.ssn, c.type
order by c.ssn Asc, c.type Asc;",,"select c.country, count(distinct c.ssn)
from customers c, merchants m, credit_cards cc, transactions t
where c.ssn = cc.ssn 
and cc.number = t.number
and t.code = m.code
and c.country <>m.country
group by c.country","Missing semicolon, CHECK CODE.","SELECT cc1.type, t1.identifier
from transactions t1, credit_cards cc1
where cc1.number = t1.number
and (cc1.type, t1.amount) in
	(SELECT cc2.type, max(t2.amount)
	from transactions t2, credit_cards cc2
	where  cc2.number = t2.number
	group by cc2.type)
order by cc1.type ASC, t1.identifier ASC;",,"SELECT distinct cc1.type, t1.identifier
from credit_cards cc1, transactions t1
where cc1.number = t1.number
and t1.amount >= all(
	select t2.amount
	from credit_cards cc2, transactions t2
	where cc2.number = t2.number
	and cc1.type = cc2.type)
order by cc1.type ASC, t1.identifier ASC;",,"select m.code, m.name
from merchants m 
except
select m.code, m.name
from transactions t, credit_cards cc, merchants m
where t.number = cc.number
and m.code = t.code 
and (cc.type like '%visa%' or cc.type like '%diners-club%')
and t.amount >= 888","Missing semicolon, CHECK CODE."
A0231907H,"SELECT DISTINCT c.ssn
FROM customers c, credit_cards cd, transactions t
WHERE EXTRACT(YEAR FROM t.datetime) = '2017'
AND EXTRACT(MONTH FROM t.datetime) = '12'
AND EXTRACT(DAY FROM t.datetime) = '25'
AND cd.number = t.number
AND c.ssn = cd.ssn
AND cd.type = 'visa'","Missing semicolon, CHECK CODE.","SELECT c.first_name, c.last_name
FROM (SELECT c1.ssn, c1.first_name, c1.last_name
      FROM  customers c1 
	  LEFT JOIN credit_cards cd1 ON c1.ssn = cd1.ssn
      WHERE c1.country = 'Singapore'
      AND cd1.type = 'jcb'
      INTERSECT
      SELECT c2.ssn, c2.first_name, c2.last_name
      FROM customers c2 
	  LEFT JOIN credit_cards cd2 ON c2.ssn = cd2.ssn
      WHERE c2.country = 'Singapore'
      AND cd2.type = 'visa') AS c
ORDER BY c.first_name","Missing semicolon, CHECK CODE.","SELECT c.ssn, count(*)
FROM customers c
LEFT JOIN  credit_cards cd ON c.ssn = cd.ssn
GROUP BY c.ssn
ORDER BY c.ssn","Missing semicolon, CHECK CODE.","SELECT c.ssn,cd.type,count(cd2.number) as num_of_cards
FROM (SELECT DISTINCT c1.ssn FROM customers c1) AS c
      CROSS JOIN 
      (SELECT DISTINCT cd1.type FROM credit_cards cd1) AS cd
      LEFT JOIN credit_cards cd2 
	  ON cd2.ssn = c.ssn AND cd2.type = cd.type
GROUP BY c.ssn, cd.type","Missing semicolon, CHECK CODE.","SELECT c.country, count(DISTINCT c.ssn) AS num
FROM customers c
LEFT JOIN credit_cards cd ON c.ssn = cd.ssn
LEFT JOIN transactions t ON cd.number = t.number
LEFT JOIN merchants m ON t.code = m.code
WHERE c.country <> m.country
GROUP BY c.country","Missing semicolon, CHECK CODE.","SELECT t1.identifier, cd1.type
FROM transactions t1, credit_cards cd1
WHERE t1.number = cd1.number
AND t1.amount = ALL (
  SELECT MAX(t2.amount)
  FROM transactions t2, credit_cards cd2
  WHERE t2.number = cd2.number
  AND cd1.type = cd2.type)","Missing semicolon, CHECK CODE.","SELECT t1.identifier, cd1.type
FROM transactions t1, credit_cards cd1
WHERE t1.number = cd1.number
AND t1.amount >= ALL (
  SELECT t2.amount
  FROM transactions t2, credit_cards cd2
  WHERE t2.number = cd2.number
  AND cd1.type = cd2.type)","Missing semicolon, CHECK CODE.","SELECT m.code, m.name
FROM merchants m 
WHERE m.code NOT IN
  (SELECT m1.code
   FROM merchants m1, transactions t1, credit_cards cd1
   WHERE t1.code = m1.code
   AND t1.number = cd1.number
   AND t1.amount >= 888
   AND cd1.type like '%visa%')
INTERSECT
SELECT m.code, m.name
FROM merchants m 
WHERE m.code NOT IN
   (SELECT m2.code
   FROM merchants m2, transactions t2, credit_cards cd2
   WHERE t2.code = m2.code
   AND t2.number = cd2.number
   AND t2.amount >= 888
   AND cd2.type like '%diners-club%')
*
SELECT DISTINCT cd.type FROM credit_cards cd
WHERE cd.type like '&diners-club%'
OR cd.type like '%visa%'
OUTPUT: visa visa-electron
*/","Missing semicolon, CHECK CODE."
A0231912N,"SELECT DISTINCT cc.ssn
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND t.datetime >= '2017-12-25 00:00:00.000000' AND t.datetime <'2017-12-26 00:00:00.000000'
AND cc.type LIKE '%visa%';",,"SELECT subtable.first_name, subtable.last_name
FROM
(SELECT DISTINCT cc.ssn, c.last_name, c.first_name
FROM customers c, credit_cards cc
WHERE c.ssn = cc.ssn
AND cc.type LIKE '%visa%' 
INTERSECT
SELECT DISTINCT c.ssn,c.last_name, c.first_name
FROM customers c, credit_cards cc
WHERE c.ssn = cc.ssn
AND cc.type LIKE '%jcb%') as subtable
ORDER BY subtable.first_name;",,"SELECT c.ssn,coalesce(m.count,0) AS number
FROM
(SELECT cc.ssn,COUNT(*) 
FROM credit_cards cc
GROUP BY cc.ssn  )AS m 
RIGHT JOIN customers c
ON m.ssn =c.ssn
ORDER BY COUNT desc
*SELECT c.ssn 
FROM customers c
WHERE c.ssn NOT IN(
	SELECT cc.ssn
	FROM credit_cards cc)	
*/","Missing semicolon, CHECK CODE.","SELECT DISTINCT atp.ssn,atp.type,coalesce(tp.count,0)
FROM
(SELECT DISTINCT cc.ssn,cc.type, COUNT(cc.type)
FROM credit_cards cc
GROUP BY cc.ssn, cc.type) as tp
RIGHT JOIN
(SELECT DISTINCT c.ssn,cc.type
FROM customers c,credit_cards cc
ORDER BY c.ssn) AS atp
ON tp.ssn = atp.ssn AND tp.type = atp.type
ORDER BY atp.ssn,atp.type;",,"SELECT tb.c1, count(*)
FROM 
(select c.ssn,c.country as c1,m.country as c2 ,t.identifier
FROM customers c, credit_cards cc, transactions t, merchants m
WHERE c.ssn=cc.ssn
AND cc.number =t.number
AND t.code=m.code) as tb
WHERE tb.c1!=tb.c2
GROUP BY tb.c1;",,"SELECT t2.identifier
FROM transactions t2, credit_cards cc2,
(SELECT cc.type, MAX(t.amount)
FROM transactions t, credit_cards cc
WHERE t.number = cc.number
GROUP BY cc.type) AS maxtable
WHERE maxtable.max = t2.amount
AND maxtable.type = cc2.type
AND t2.number = cc2.number","Missing semicolon, CHECK CODE.","SELECT t2.identifier
FROM transactions t2, credit_cards cc2,
(SELECT DISTINCT ON(gt.TYPE) *
FROM
(SELECT cc.type, t.amount
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
ORDER BY cc.type,t.amount desc)AS gt ) AS gt2
WHERE gt2.amount = t2.amount
AND gt2.type = cc2.type
AND t2.number = cc2.number","Missing semicolon, CHECK CODE.","SELECT m.code,m.name
FROM 
(SELECT *
FROM credit_cards
WHERE type LIKE '%visa' OR type LIKE '%diners-club%') AS cc, 
merchants m,
(SELECT *
FROM transactions  
WHERE amount<=888) AS t 
WHERE 
cc.number = t.number
AND m.code =t.code","Missing semicolon, CHECK CODE."
A0231917E,"SELECT DISTINCT c.ssn
FROM credit_cards c, transactions t
WHERE c.number = t.number
AND c.type = 'visa'
AND t.datetime BETWEEN '2017-12-25 00:00:00' AND '2017-12-25 23:59:59'","Missing semicolon, CHECK CODE.","SELECT DISTINCT a.first_name, a.last_name, a.ssn
FROM customers a, credit_cards c
WHERE a.ssn = c.ssn
AND a.country = 'Singapore'
AND c.type = 'jcb'
INTERSECT
SELECT DISTINCT a.first_name, a.last_name, a.ssn
FROM customers a, credit_cards c
WHERE a.ssn = c.ssn
AND a.country = 'Singapore'
AND c.type = 'visa'","Missing semicolon, CHECK CODE.","SELECT DISTINCT a.ssn, 
(CASE WHEN c.ssn IS NULL THEN '0' ELSE COUNT(*) END) AS cardnumber
FROM customers a LEFT OUTER JOIN credit_cards c ON a.ssn = c.ssn
GROUP BY a.ssn,c.ssn
ORDER BY a.ssn","Missing semicolon, CHECK CODE.","SELECT ak.ssn, ak.type,
(CASE WHEN c3.type IS NULL THEN '0' ELSE COUNT(*) END) AS cardnumber
FROM	(SELECT c2.type, c2.ssn
		FROM (SELECT DISTINCT c.type
	 		FROM credit_cards c) AS c1 
	 		LEFT OUTER JOIN 
	 		(SELECT DISTINCT a.ssn, c.type
	 		FROM customers a, credit_cards c) AS c2
		 	ON c1.type = c2.type) AS ak 
		LEFT OUTER JOIN credit_cards c3
		ON ak.ssn = c3.ssn AND ak.type = c3.type
GROUP BY ak.ssn, ak.type,c3.type","Missing semicolon, CHECK CODE.","SELECT DISTINCT am.country, COUNT(*)
FROM (
	SELECT DISTINCT a.ssn, a.country
	FROM customers a, credit_cards c, merchants m, transactions t
	WHERE a.ssn = c.ssn AND c.number = t.number AND t.code = m.code
	AND m.country <> a.country
	GROUP BY a.ssn, a.country, m.country) AS am
GROUP BY am.country","Missing semicolon, CHECK CODE.","SELECT DISTINCT t2.identifier 
FROM (
	SELECT DISTINCT c1.type, MAX(t1.amount)
	FROM credit_cards c1 JOIN transactions t1 ON c1.number = t1.number
	GROUP BY c1.type) AS c1t1, transactions t2, credit_cards c2
WHERE c1t1.max = t2.amount
AND c1t1.type = c2.type
AND t2.number = c2.number","Missing semicolon, CHECK CODE.","SELECT t2.identifier
FROM (
	(SELECT t.identifier,
	MAX(t.amount) OVER (partition by c.type) AS maxi
	FROM transactions t JOIN credit_cards c ON t.number = c.number) AS t1
	JOIN transactions t2 ON t1.maxi = t2.amount AND t1.identifier = t2.identifier)","Missing semicolon, CHECK CODE.","SELECT DISTINCT m.code, m.name
FROM merchants m
EXCEPT
SELECT DISTINCT vd.code, vd.name
FROM (
	SELECT t.amount, c.type, m.name, m.code
	FROM merchants m, transactions t, credit_cards c
	WHERE m.code = t.code
	AND t.number = c.number
	AND t.amount >= 888
	AND c.type LIKE 'visa%'
	UNION
	SELECT t.amount, c.type, m.name, m.code
	FROM merchants m, transactions t, credit_cards c
	WHERE m.code = t.code
	AND t.number = c.number
	AND t.amount >= 888
	AND c.type LIKE '%diners-club%') AS vd","Missing semicolon, CHECK CODE."
A0231929Y,"SELECT c.ssn
FROM customers c, transactions t, credit_cards cc
WHERE c.ssn = cc.ssn
AND t.number = cc.number
AND t.datetime >= '2017-12-25'
AND t.datetime < '2017-12-26'
AND cc.type = 'visa';",,"SELECT DISTINCT c.first_name, c.last_name 
FROM customers c, credit_cards cc
WHERE c.ssn = cc.ssn
AND cc.type = 'visa'
AND c.country = 'Singapore'
UNION
SELECT DISTINCT c.first_name, c.last_name 
FROM customers c, credit_cards cc
WHERE c.ssn = cc.ssn
AND cc.type = 'jcb'
AND c.country = 'Singapore';",,"SELECT cc.ssn, COUNT(cc.number) AS count
FROM credit_cards cc, customers c
WHERE c.ssn = cc.ssn
GROUP BY cc.ssn
UNION
SELECT cc.ssn, 0 AS count
FROM credit_cards cc LEFT OUTER JOIN customers c
ON c.ssn = cc.ssn
WHERE cc.number ISNULL;",,"SELECT cc.ssn, cc.type, COUNT(cc.type) AS count
FROM credit_cards cc, customers c
WHERE c.ssn = cc.ssn
GROUP BY cc.ssn,cc.type
UNION
SELECT cc.ssn, cc.type, 0 AS count
FROM credit_cards cc LEFT OUTER JOIN customers c
ON c.ssn = cc.ssn
WHERE cc.number ISNULL;",,"SELECT c.country, COALESCE(COUNT(c.ssn),0) AS count
FROM customers c, merchants m, credit_cards cc, transactions t
WHERE c.country <> m.country
AND t.number = cc.number
AND t.code = m.code
AND cc.ssn = c.ssn
GROUP BY c.country;",,"SELECT t1.identifier, t1.amount
FROM credit_cards cc, transactions t1
WHERE cc.number = t1.number
AND t1.amount = (SELECT MAX(amount) 
                FROM credit_cards cc2, transactions t2
                WHERE cc2.number = t2.number
                AND cc2.type = cc.type
                );",,"SELECT t1.identifier, t1.amount
FROM credit_cards cc, transactions t1
WHERE cc.number = t1.number
AND t1.amount = (SELECT t2.amount
                FROM credit_cards cc2, transactions t2
                WHERE cc2.number = t2.number
                AND cc2.type = cc.type
				ORDER BY t2.amount DESC
				LIMIT 1);",,"SELECT DISTINCT m.code, m.name
FROM merchants m
WHERE (m.code, m.name) NOT IN (
	SELECT DISTINCT m.code, m.name
	FROM merchants m, transactions t, (
  		SELECT *
  		FROM credit_cards
  		WHERE type LIKE 'visa%'
  		OR type LIKE 'diners-club%') cc
	WHERE t.number = cc.number
	AND m.code = t.code
	AND t.amount >= 888)","Missing semicolon, CHECK CODE."
A0231936A,"SELECT DISTINCT c.ssn
FROM customers c, credit_cards cc, transactions t
WHERE c.ssn = cc.ssn
AND cc.number = t.number
AND cc.type = 'visa'
AND date(t.datetime) = '2017-12-25';",,"SELECT jv.first_name, jv.last_name
FROM (SELECT c.first_name, c.last_name, c.ssn
	  FROM customers c, credit_cards cc
	  WHERE c.ssn = cc.ssn
	  AND cc.type = 'jcb'
	  AND c.country = 'Singapore'
	  INTERSECT
	  SELECT c.first_name, c.last_name, c.ssn
	  FROM customers c, credit_cards cc
	  WHERE c.ssn = cc.ssn
	  AND cc.type = 'visa'
	  AND c.country = 'Singapore') AS jv
ORDER BY jv.first_name;",,"SELECT c.ssn, COUNT(cc.number) AS number_of_cards
FROM customers c LEFT JOIN credit_cards cc
ON c.ssn = cc.ssn
GROUP BY c.ssn;",,"CREATE VIEW card_type AS
SELECT DISTINCT c.ssn, cc.type
FROM customers c, credit_cards cc;
SELECT ct.ssn, ct.type, COUNT(cc.type) AS number_of_cards
FROM card_type ct
LEFT JOIN credit_cards cc
ON ct.ssn = cc.ssn
AND ct.type = cc.type
GROUP BY ct.ssn, ct.type
ORDER BY ct.ssn;",,"SELECT c.country, COUNT(DISTINCT c.ssn)
FROM customers c, credit_cards cc, transactions t, merchants m
WHERE c.ssn = cc.ssn
AND cc.number = t.number
AND t.code = m.code
AND c.country != m.country
GROUP BY c.country;",,"SELECT t.identifier
FROM credit_cards cc,
	 transactions t,
	 (SELECT cc2.type AS type, MAX(t2.amount) AS max
	  FROM transactions t, transactions t2, credit_cards cc2
	  WHERE t2.number = cc2.number
	  AND t.identifier = t2.identifier
	  GROUP BY cc2.type) AS m
WHERE cc.number = t.number
AND t.amount = m.max
AND cc.type = m.type;",,"SELECT t.identifier
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND t.amount >= ALL(SELECT t2.amount
					FROM transactions t2, credit_cards cc2
					WHERE t2.number = cc2.number
				    AND cc.type = cc2.type);",,"SELECT DISTINCT m.code, m.name
FROM merchants m
WHERE m.code NOT IN (SELECT m.code
					FROM merchants m, transactions t, credit_cards cc
					WHERE m.code = t.code
					AND t.number = cc.number
					AND t.amount >= 888
					AND (cc.type LIKE '%visa%' OR cc.type LIKE '%diners-club%'))","Missing semicolon, CHECK CODE."
A0231957X,"SELECT cc.ssn,EXTRACT(day FROM T.datetime) AS DAY, EXTRACT(month FROM T.datetime) AS MONTH
FROM credit_cards cc, transactions t
WHERE cc.type='visa' 
AND cc.number=t.number
AND EXTRACT(day FROM T.datetime)=25
AND EXTRACT(month FROM T.datetime)=12
AND EXTRACT(year FROM T.datetime)=2017;",,"SELECT cu.first_name, cu.last_name,  cu.ssn
FROM customers cu, credit_cards cc
WHERE cu.ssn=cc.ssn
AND cc.type='JCB' OR cc.type='visa'
GROUP BY cu.ssn, cu.first_name, cu.last_name;",,"SELECT cu.ssn, count(cc.number)
FROM customers cu full outer join credit_cards cc on cu.ssn=cc.ssn
group by cu.ssn;",,,"Missing semicolon, CHECK CODE.","select cu.country, count(cu.ssn)
from customers cu
where cu.ssn in(
select cu.ssn
from customers cu, credit_cards cc,transactions t,merchants m
where cu.ssn=cc.ssn
and cc.number=t.number
and t.code=m.code
and m.country<>cu.country)
group by cu.country;",,"select frm.maz,frm.tp
from (select max(t.amount) as maz,cc.type as tp
	  from credit_cards cc, transactions t
	  where cc.number=t.number
	  group by cc.type) as frm;",,"select cc.type,t.identifier
from credit_cards cc, transactions t
where t.amount>=ALL(select t.amount
					from credit_cards cc, transactions t
					where cc.number=t.number 
					GROUP BY cc.type,t.amount) 
					and cc.number=t.number
					group by cc.type,t.identifier;",,"select m.code,m.name
from merchants m
where m.code not in
(select m.code
from merchants m, transactions t,credit_cards cc
where t.code=m.code
and cc.number=t.number
and t.amount>=888
and cc.type='visa' or cc.type='diners-club');",
A0231979N,"SELECT c.ssn
FROM customers c, credit_cards cc, transactions t
WHERE c.ssn = cc.ssn AND cc.number = t.number
AND cc.type= 'visa' AND t.datetime::date ='2017-12-25'","Missing semicolon, CHECK CODE.","SELECT  c.first_name, c.last_name
FROM customers c, credit_cards cc
WHERE c.ssn = cc.ssn  AND c.country= 'Singapore' AND cc.type = 'jcb'
INTERSECT 
SELECT  c.first_name, c.last_name
FROM customers c, credit_cards cc
WHERE c.ssn = cc.ssn  AND c.country= 'Singapore' AND cc.type = 'visa'","Missing semicolon, CHECK CODE.","SELECT  c.ssn,COUNT(cc.number) as result
FROM customers c LEFT JOIN credit_cards cc ON c.ssn= cc.ssn
GROUP BY c.ssn
ORDER BY result","Missing semicolon, CHECK CODE.","SELECT sub.ssn, sub.type,COUNT(cc.number)
FROM  (SELECT DISTINCT c.ssn,cc.type FROM customers c,credit_cards cc) as sub
LEFT JOIN credit_cards cc ON sub.ssn = cc.ssn AND sub.type = cc.type
GROUP BY sub.ssn, sub.type
ORDER BY sub.ssn","Missing semicolon, CHECK CODE.","SELECT c.country, COUNT(*)
FROM customers c, credit_cards cc, transactions t, merchants m
WHERE c.ssn = cc.ssn AND t.number = cc.number AND t.code = m.code AND c.country != m.country
GROUP BY c.country","Missing semicolon, CHECK CODE.","SELECT cc.type,t.identifier
FROM credit_cards cc, transactions t 
WHERE cc.number = t.number
AND (cc.type,t.amount) IN (SELECT cc.type,MAX(t.amount) FROM  credit_cards cc, transactions t WHERE cc.number = t.number GROUP BY cc.type)
ORDER BY cc.type","Missing semicolon, CHECK CODE.","SELECT cc.type,t.identifier
FROM credit_cards cc, transactions t
WHERE cc.number = t.number
AND NOT EXISTS ( SELECT t2.identifier FROM credit_cards cc2, transactions t2 WHERE cc2.number=t2.number AND cc2.type = cc.type AND t2.amount>t.amount)
ORDER BY cc.type","Missing semicolon, CHECK CODE.","* Write your answer in SQL below: 
		*/
SELECT DISTINCT m.code, m.name
FROM credit_cards cc, transactions t, merchants m
WHERE t.number = cc.number AND t.code = m.code 
AND NOT EXISTS (SELECT *
			FROM credit_cards cc, transactions t, merchants m2
			WHERE t.number = cc.number AND t.code = m2.code AND m2.code = m.code
			AND t.amount >= 888 and (cc.type = 'visa' or cc.type='diners-club'))
ORDER BY m.code, m.name","Missing semicolon, CHECK CODE."
A0231993X,"SELECT c.ssn
FROM credit_cards c, transactions t
WHERE c.type = 'visa' AND t.number = c.number AND DATE(datetime) = '2017-12-25';
* can check that it is correct by using 
 SELECT c.ssn, t.number, c.number, c.type, DATE(t.datetime) */",,"SELECT cust.first_name, cust.last_name
FROM customers cust, credit_cards c
WHERE cust.country = 'Singapore' AND c.ssn = cust.ssn  AND (c.type = 'visa' or c.type ='jcb')","Missing semicolon, CHECK CODE.","SELECT cust.ssn, COUNT(c.ssn)
FROM customers cust, credit_cards c
WHERE cust.ssn = c.ssn
GROUP BY cust.ssn
UNION
SELECT cust.ssn, COUNT(cust.ssn)-1 
FROM customers cust
WHERE cust.ssn NOT IN (SELECT c.ssn FROM credit_cards c)
GROUP BY cust.ssn
ORDER BY COUNT;",,"select cust.ssn, c.type, count(*) as count
from customers as cust, credit_cards as c
where cust.ssn = c.ssn 
union
select distinct (tempA.ssn), tempA.type, 0 as count
from (select cust.ssn, subquery.type, count(*) 
	from customers cust, credit_cards c, (select distinct c.type from credit_cards as c) as subquery
	where cust.ssn = c.ssn and c.type <> subquery.type
	group by cust.ssn, subquery.type
	order by cust.ssn
		(select cust.ssn, c.type
			from customers as cust, credit_cards as c
			where cust.ssn = c.ssn 
			group by cust.ssn, c.type
			order by cust.ssn) as temporaryB
	on tempA.ssn = temporaryB.ssn and (tempA.type = temporaryB.type  )
order by ssn;",,"select aact.cust_country, sum(aact.count) as number_of_overseas_purchase
from (SELECT m.country as m_country, cust.country as cust_country, COUNT(*)
from transactions t, merchants m, customers cust, credit_cards c
where t.code = m.code AND t.number = c.number AND c.ssn = cust.ssn AND m.country = cust.country
left join (SELECT m.country as m_country, cust.country as cust_country, COUNT(*)
from transactions t, merchants m, customers cust, credit_cards c
where t.code = m.code AND t.number = c.number AND c.ssn = cust.ssn 
on sct.m_country = aact.m_country and sct.cust_country <> aact.cust_country
group by aact.cust_country; 
*
SELECT m.country, COUNT(*)
from transactions t, merchants m
where t.code = m.code 
GROUP BY m.country; 
*/
*
SELECT m.country, cust.country, COUNT(*)
from transactions t, merchants m, customers cust, credit_cards c
where t.code = m.code AND t.number = c.number AND c.ssn = cust.ssn AND m.country = cust.country
GROUP BY m.country, cust.country; */
* this solution is my working but because i use INTO, i just rewrite again without 
SELECT m.country, cust.country, COUNT(*)
from transactions t, merchants m, customers cust, credit_cards c
where t.code = m.code AND t.number = c.number AND c.ssn = cust.ssn 
GROUP BY m.country, cust.country
SELECT m.country as m_country, cust.country as cust_country, COUNT(*)
into sct
from transactions t, merchants m, customers cust, credit_cards c
where t.code = m.code AND t.number = c.number AND c.ssn = cust.ssn AND m.country = cust.country
GROUP BY m.country, cust.country;
SELECT m.country as m_country, cust.country as cust_country, COUNT(*)
into aact
from transactions t, merchants m, customers cust, credit_cards c
where t.code = m.code AND t.number = c.number AND c.ssn = cust.ssn 
GROUP BY m.country, cust.country;
select * from sct;
select * from aact;
select aact.cust_country, sum(aact.count)
from sct 
left join aact
on sct.m_country = aact.m_country and sct.cust_country <> aact.cust_country
group by aact.cust_country
*/",,"from transactions as t, credit_cards as c
FROM transactions t, credit_cards c
WHERE t.number = c.number 
GROUP BY c.type ) 
order by t.identifier;
*SELECT *
FROM transactions t, credit_cards c
WHERE t.number = c.number and c.type = 'visa-electron'  and t.amount = '1000.34'",,"select t.identifier, t.amount
from transactions as t, credit_cards as c
where c.number = t.number and t.amount >= ALL(
	SELECT t1.amount 
	from transactions as t1, credit_cards as c1
	where t1.number = c1.number and c.type =c1.type)
order by t.identifier;",,"select m.code, m.name
from merchants as m
from merchants as m
select distinct right_table.name
from
from transactions as t, merchants as m, credit_cards as c
where t.amount >= 888 and t.number = c.number and t.code = m.code and ( c.type like 'visa%' or c.type like 'diners-club%')
group by t.amount, t.number, c.number, t.code, m.code, c.type
) as innerjoin
on m.name = innerjoin.name
order by innerjoin.name;",
A0231996R,"select distinct c.ssn 
from customers c, transactions t, credit_cards cc
where c.ssn = cc.ssn
and t.number = cc.number
and cc.type = 'visa'
and t.datetime between '2017-12-25' and '2017-12-26'
order by c.ssn asc;",,"select c.first_name, c.last_name
from customers c, credit_cards cc, credit_cards ccc
where cc.type = 'visa' 
and ccc.type ='jcb'
and c.country = 'Singapore'
and c.ssn=cc.ssn
and c.ssn=ccc.ssn
group by c.ssn, c.first_name, c.last_name","Missing semicolon, CHECK CODE.","select c.ssn, count(cc.ssn)
from customers c left outer join credit_cards cc on c.ssn=cc.ssn
group by c.ssn
order by c.ssn asc","Missing semicolon, CHECK CODE.","select res2.ssn, res2.type, CASE WHEN count IS NULL THEN 0 ELSE count END
from 
(select ssn, type
from customers
cross join (select distinct type from credit_cards) res) res2
left join
(select c.ssn, cc.type, count(cc.number)
from customers c left outer join credit_cards cc on c.ssn=cc.ssn
group by c.ssn, cc.type) res3
on res2.ssn = res3.ssn and res2.type = res3.type","Missing semicolon, CHECK CODE.","select c.country, count (distinct c.ssn)
from transactions t, merchants m, credit_cards cc, customers c
where t.code = m.code
and t.number = cc.number
and cc.ssn = c.ssn
and m.country <> c.country
group by c.country","Missing semicolon, CHECK CODE.","select t.identifier, t.amount
from transactions t, credit_cards cc
where t.number=cc.number
and cc.type || t.amount in (select ccc.type || max(tt.amount) 
    from transactions tt, credit_cards ccc
    where tt.number = ccc.number 
    group by ccc.type)","Missing semicolon, CHECK CODE.","select t.identifier, t.amount
from transactions t, credit_cards cc
where t.number=cc.number
and t.amount >= all(
select tt.amount
from transactions tt, credit_cards ccc
where tt.number=ccc.number
and cc.type = ccc.type)","Missing semicolon, CHECK CODE.","select m.code, m.name
from merchants m, transactions t, credit_cards cc
where m.code =t.code 
and t.number = cc.number
and cc.type like '%visa%'
group by m.code, m.name
having max(t.amount)<888
intersect
select m.code, m.name
from merchants m, transactions t, credit_cards cc
where m.code =t.code 
and t.number = cc.number
and cc.type like '%diners-club%'
group by m.code, m.name
having max(t.amount)<888","Missing semicolon, CHECK CODE."
