student,1.a,comment,grade,1.b,comment,grade,1.c,comment,grade,1.d,comment,grade,1.e,comment,grade,1.f,comment,grade,1.g,comment,grade,1.h,comment,grade
A0231872E,"select distinct cc.ssn
from credit_cards cc, transactions t
where cc.number=t.number
and extract(year from t.datetime)=2017
and extract(month from t.datetime)=12
and extract(day from t.datetime)=25
and cc.type='visa';",,,"select A.first_name,A.last_name
from(
select c.ssn,c.first_name,c.last_name
from customers c natural join credit_cards cc
where cc.type='jcb'
and c.country='Singapore'
intersect 
select c.ssn,c.first_name,c.last_name
from customers c left join credit_cards cc on cc.ssn=c.ssn
where cc.type='visa'
and c.country='Singapore')A;",,,"select cc.ssn,count(*)
from customers c natural join credit_cards cc 
group by cc.ssn
union
select c.ssn,count(*)-1
from customers c left join credit_cards cc on cc.ssn=c.ssn
where cc.type is null
group by c.ssn;",,,"select cc.ssn,cc.type,count(*) 
from credit_cards cc
group by cc.type,cc.ssn
union
select B.ssn,A.type,count(*)-1
from (select distinct cc.type
from credit_cards cc) A,(select c.ssn
from customers c
where c.ssn not in 
(select cc.ssn
from credit_cards cc
) )B
group by B.ssn,A.type
union
select C.ssn,C.type,count(*)-1
from (select * from(select distinct cc.ssn
from credit_cards cc) D,(select distinct cc.type
from credit_cards cc) E
except
select cc.ssn,cc.type
from credit_cards cc) C
group by C.ssn,C.type;",,,"select c.country,count(distinct c.ssn)
from customers c
left join credit_cards cc
on c.ssn=cc.ssn
left join transactions t
on t.number =cc.number
left join merchants m
on m.code=t.code
where c.country<>m.country
group by c.country;",,,"select  t.identifier 
from transactions t natural join credit_cards cc left join (select max(t.amount) max_amount, cc.type
from transactions t left join credit_cards cc
on t.number=cc.number 
group by cc.type) A on A.max_amount=t.amount
where A.type=cc.type;",,,"select t.identifier
from transactions t left join credit_cards cc on cc.number=t.number
where t.amount>=all(
select t1.amount
from transactions t1 left join credit_cards cc1 on cc1.number=t1.number
where cc.type=cc1.type );",,,"select m.code,m.name
from merchants m left join transactions t on m.code=t.code left join credit_cards cc on t.number=cc.number 
except
select m.code,m.name
from merchants m left join transactions t on m.code=t.code left join credit_cards cc on t.number=cc.number 
where (cc.type like '%visa%' or cc.type like '%diners-club%')
and t.amount>=888;",,
A0231875Y,"SELECT DISTINCT c.ssn
FROM credit_cards AS c, transactions AS t
WHERE c.type = 'visa'
AND t.number = c.number 
AND DATE(t.datetime) = '2017-12-25'
AND t.amount >0;",,,"SELECT cust.first_name, cust.last_name 
FROM 
	(SELECT c.ssn
	FROM credit_cards AS c
	WHERE c.type = 'visa'
	INTERSECT 
	SELECT c.ssn
	FROM credit_cards AS c
	WHERE c.type = 'jcb') AS cards
INNER JOIN customers AS cust ON cust.ssn = cards.ssn
WHERE cust.country = 'Singapore';",,,"SELECT cust.ssn, 
	(CASE WHEN card_count ISNULL THEN 0 
		  WHEN card_count >0 THEN card_count end) AS card_count
FROM customers AS cust 
LEFT JOIN
	(SELECT c.ssn, count(c.type) AS card_count 
	FROM credit_cards AS c
	GROUP BY c.ssn) AS cards
ON cust.ssn = cards.ssn;",,,"SELECT cust.ssn, cs.type, count(c.type) 
FROM customers AS cust
CROSS JOIN
	  (SELECT DISTINCT c.type 
	  FROM credit_cards AS c) AS cs
LEFT JOIN
	credit_cards AS c 
	ON c.type = cs.type AND c.ssn = cust.ssn 
GROUP BY cust.ssn, cs.type
ORDER BY cust.ssn;",,,"SELECT cust_country, SUM(country_count)
FROM 
	(SELECT t.identifier, t.amount, c.ssn, m.country AS merchant_country, cust.country AS cust_country,
		(CASE WHEN cust.country <> m.country THEN 1 ELSE 0 END) AS country_count 
	FROM transactions AS t, credit_cards AS c, merchants AS m, customers AS cust 
	WHERE  t.number = c.number 
	AND t.code = m.code
	AND c.ssn = cust.ssn) AS subquery
GROUP BY cust_country;",,,"SELECT s1.identifier
FROM 
	(SELECT c.type, t.identifier, t.amount 
	FROM transactions AS t, credit_cards AS c
	WHERE t.number = c.number) AS s1
RIGHT JOIN  
	(SELECT cc.type, MAX(tt.amount) AS max_amt
	FROM transactions AS tt, credit_cards AS cc
	WHERE tt.number = cc.number
	GROUP BY cc.type) AS s2	
ON s1.amount = s2.max_amt 
AND s1.type = s2.type
ORDER BY s1.type;",,,"SELECT tt.identifier
FROM transactions AS tt, credit_cards AS cc
WHERE tt.number = cc.number
AND tt.amount >= ALL 
	(SELECT t.amount
	FROM transactions AS t, credit_cards AS c
	WHERE t.number = c.number
	AND cc.type = c.type
	AND t.amount <> tt.amount);",,,"SELECT m.code, m.name 
FROM merchants AS m 
EXCEPT 
SELECT m.code, m.name
FROM transactions AS t, credit_cards AS c, merchants AS m 
WHERE t.number = c.number
AND t.code = m.code 
AND t.amount >= 888 
AND (c.type LIKE '%visa%' OR c.type LIKE '%diners-club%');",,
A0231880H,"SELECT c.SSN
FROM customers c, credit_cards r, transactions t
WHERE c.SSN = r.SSN
AND r.number = t.number
AND t.datetime between '2017-12-25' and '2017-12-26'
AND r.type = 'visa';",,,"SELECT c.first_name, c.last_name
FROM customers c, credit_cards r
WHERE c.SSN = r.SSN
AND r.type = 'jcb'
AND c.country = 'Singapore'
GROUP by c.SSN
INTERSECT
SELECT c.first_name, c.last_name
FROM customers c, credit_cards r
WHERE c.SSN = r.SSN
AND r.type = 'visa'
AND c.country = 'Singapore'
GROUP BY c.SSN;",,,"SELECT c.SSN, COUNT(r.number) 
FROM customers c LEFT OUTER JOIN credit_cards r ON c.SSN = r.SSN
GROUP BY c.SSN;",,,"CREATE VIEW view1 AS
SELECT c.SSN, r.type, c.SSN ||' '|| r.type AS ssntype, count(r.number) AS cards_owned
FROM customers c CROSS JOIN credit_cards r
WHERE c.SSN = r.SSN
GROUP BY c.SSN, r.type
ORDER BY c.SSN;
CREATE VIEW view2 AS
SELECT c.SSN, r.type, c.SSN ||' '|| r.type AS ssntype
FROM customers c CROSS JOIN credit_cards r
GROUP BY c.SSN, r.type
ORDER BY c.SSN;
SELECT v1.SSN as SSN, v1.type as type, v1.cards_owned
FROM view1 v1
Union
SELECT v2.SSN as SSN, v2.type as type, 0 as cards_owned
FROM view2 v2
WHERE v2.ssntype NOT IN (SELECT v1.ssntype FROM view1 v1)
ORDER BY SSN, type;",,,"CREATE VIEW tempc AS
SELECT c.SSN, c.country AS own, m.country AS merchant
FROM customers c, credit_cards r, merchants m, transactions t
WHERE c.SSN = r.SSN AND r.number = t.number AND t.code = m.code;
SELECT own, COUNT(*)
FROM tempc
WHERE own <> merchant
GROUP BY own;",,,"CREATE VIEW maxtemp AS
SELECT t.identifier, t.amount, r.type
FROM transactions t, credit_cards r
WHERE t.number = r.number
AND t.amount IN (SELECT max(t.amount)
					FROM credit_cards r, transactions t
					WHERE t.number = r.number
					GROUP BY r.type) 
AND r.type IN (SELECT DISTINCT(r.type) FROM credit_cards r)
ORDER BY r.type;
SELECT a1.identifier
FROM maxtemp a1
WHERE a1.amount >= ALL (
	SELECT a2.amount
	FROM maxtemp a2 
	WHERE a1.type = a2.type)
ORDER BY a1.identifier;",,,"CREATE VIEW temp AS
SELECT t.identifier, t.amount, r.type 
FROM transactions t, credit_cards r
WHERE t.number = r.number;
SELECT t1.identifier
FROM temp t1
WHERE t1.amount >= ALL (SELECT t2.amount FROM temp t2 WHERE t1.type = t2.type);",,,"SELECT DISTINCT(m.code), m.name
FROM merchants m, credit_cards r, transactions t
WHERE r.number = t.number AND m.code = t.code
AND m.code NOT IN (SELECT t.code 
				   FROM transactions t, credit_cards r 
				   WHERE r.number = t.number
				   AND t.amount >= 888
				   AND (r.type LIKE '%visa%' OR r.type LIKE '%diners-club%'));",,
A0231884Y,"select distinct cc.ssn 
from credit_cards cc, transactions t
where cc.number = t.number
and cc.type = 'visa'
and t.datetime >= '2017-12-25'
and t.datetime < '2017-12-26';",,,"select cus1.first_name, cus1.last_name
from (
	select distinct cus.ssn
	from customers cus, credit_cards cc1, credit_cards cc2
	where cus.ssn = cc1.ssn
	and cus.ssn = cc2.ssn
	and cus.country = 'Singapore'
	and cc1.type = 'jcb'
	and cc2.type = 'visa') as dssn, customers cus1
where cus1.ssn = dssn.ssn;",,,"select joint.ssn, count(joint.number) as numbercc
from (
	select cus1.ssn, cc1.number from
	customers cus1 left join credit_cards cc1
	on cus1.ssn = cc1.ssn) as joint
group by joint.ssn
order by numbercc;",,,"select wh.ssn, wh.type, count(wh.number)
from (
	select distinct df.ssn, df.type, cc.number from
	((select ssn from customers) as cusssn
	cross join (select distinct type from credit_cards)as cct) as df
	left join credit_cards cc
	on df.ssn = cc.ssn and df.type = cc.type
) as wh
group by wh.ssn, wh.type
order by wh.ssn, wh.type;",,,"select cus.country, count(distinct cus.ssn)
from customers cus, credit_cards cc, transactions t, merchants m
where cus.ssn = cc.ssn
and cc.number = t.number
and m.code = t.code
and cus.country != m.country
group by cus.country;",,,"select type_max.type, t.identifier, type_max.max_amount
from (
	select cc1.type, max(t1.amount) as max_amount
	from credit_cards cc1, transactions t1
	where cc1.number = t1.number
	group by cc1.type) as type_max, transactions t, credit_cards cc
where cc.number = t.number
and cc.type = type_max.type
and t.amount = type_max.max_amount;",,,"select cc.type, t.identifier, t.amount
from transactions t, credit_cards cc
where t.number = cc.number
and t.amount >= all(
	select t1.amount
	from transactions t1, credit_cards cc1
	where t1.number = cc1.number
	and cc.type = cc1.type);",,,"select distinct m.code, m.name
from merchants m
where m.code not in(
	select distinct m1.code
	from merchants m1, transactions t, credit_cards cc
	where m1.code = t.code
	and cc.number = t.number
	and t.amount >= 888
	and (cc.type like '%visa%' or cc.type like '%diners-club%'))
order by m.code;",,
A0231885X,"SELECT DISTINCT cc.ssn
FROM credit_cards cc JOIN transactions t ON cc.number=t.number
WHERE cc.type = 'visa'
AND CAST(t.datetime AS DATE) = '2017-12-25';",,,"SELECT name.first_name, name.last_name 
FROM (SELECT cu.ssn, cu.first_name, cu.last_name
FROM customers cu INNER JOIN credit_cards cc ON cu.ssn = cc.ssn 
	  INNER JOIN Transactions t ON cc.number=t.number
WHERE cu.country = 'Singapore' AND cc.type = 'jcb'
INTERSECT
SELECT cu.ssn, cu.first_name, cu.last_name
FROM customers cu INNER JOIN credit_cards cc ON cu.ssn = cc.ssn 
	  INNER JOIN Transactions t ON cc.number=t.number
WHERE cu.country = 'Singapore' AND cc.type = 'visa'
) AS name;",,,"SELECT cu.ssn, COUNT(cc.number)
FROM customers cu 
LEFT OUTER JOIN credit_cards cc ON cu.ssn = cc.ssn
GROUP BY cu.ssn
ORDER BY COUNT;",,,"SELECT sin.ssn, card.type, COUNT(*)
FROM (SELECT cu.ssn FROM customers cu) sin CROSS JOIN (SELECT cc.type FROM credit_cards cc) card
	LEFT OUTER JOIN credit_cards cc ON sin.ssn = cc.ssn AND card.type = cc.type
GROUP BY sin.ssn, card.type
ORDER BY sin.ssn;",,,"SELECT cu.country, COUNT(*)
FROM transactions t INNER JOIN credit_cards cc ON t.number = cc.number 
INNER JOIN customers cu ON cc.ssn = cu.ssn INNER JOIN merchants m ON t.code = m.code
WHERE cu.country < m.country OR cu.country > m.country
GROUP BY cu.country;",,,"SELECT t.identifier
FROM transactions t INNER JOIN credit_cards cc ON t.number = cc.number
WHERE t.amount = (select MAX(transfer.amount)
 	FROM transactions transfer
 	INNER JOIN credit_cards cc1 ON transfer.number = cc1.number
    WHERE cc1.type=cc.type);",,,"SELECT t.identifier
FROM transactions t 
JOIN credit_cards cc ON t.number = cc.number
WHERE t.amount >= ALL(
	SELECT t1.amount FROM transactions t1
	JOIN credit_cards cc1 ON t1.number = cc1.number
	WHERE cc.type = cc1.type);",,,"SELECT m.code, m.name FROM merchants m
WHERE m.code NOT IN
(SELECT m.code FROM transactions t LEFT OUTER JOIN merchants m ON t.code = m.code
	LEFT OUTER JOIN credit_cards cc ON t.number = cc.number
	WHERE t.amount >= 888 AND (cc.type LIKE '%visa%' OR cc.type LIKE '%diners-club%'));",,
A0231886W,"select
    distinct a.ssn
from
    credit_cards a
    left join
        transactions b
    on
        a.number = b.number
where
    a.type = 'visa'
and
    date(b.datetime) = '2017-12-24'
and
    amount != 0
;",,,"select
    a.first_name
    , a.last_name
from
    customers a
    left join
        credit_cards b
    on
        a.ssn = b.ssn
group by
    a.ssn
having
    sum(case when b.type = 'visa' then 1 else 0 end) > 0
and
    sum(case when b.type = 'jcb' then 1 else 0 end) > 0
;",,,"select
    a.ssn
    , count(distinct b.number) as credit_card_number
from
    customers a
    left join
        credit_cards b
    on
        a.ssn = b.ssn
group by
    a.ssn
;",,,"select
    a.ssn
    , b.type as credit_card_type
    , count(b.number) as credit_card_number
from
    customers a
    left join
        credit_cards b
    on
        a.ssn = b.ssn
group by
    a.ssn
    , b.type
;",,,"select
    c.country
    , count(1) as target_customer_number
from
    transactions a
    left join
        credit_cards b
    on
        a.number = b.number
    left join
        customers c
    on
        b.ssn = c.ssn
    left join
        merchants d
    on
        a.code = d.code
where
    c.country != d.country
group by
    c.country
;",,,"select
    b.type
    , a.identifier
from
    transactions a
    left join
        credit_cards b
    on
        a.number = b.number
group by
    b.type
having
    a.amount = max(a.amount)
;",,,"select
    c.type
    , c.identifier
from
    (
        select
            b.type
            , a.identifier
            , row_number() over(partition by b.type order by a.amount desc) rnk
        from
            transactions a
            left join
                credit_cards b
            on
                a.number = b.number
    ) c
where
    c.rnk = 1
;",,,"select
    a.code
    , a.name
from
    merchants a
    left join
        transactions b
    on
        a.code = b.code
    left join
        credit_cards c
    on
        b.number = c.number
where
    c.type in ('visa', 'diners-club')
group by
    a.code
having
    max(b.amount) < 888
;",,
A0231887U,"select cc.ssn
from credit_cards as cc  
inner join transactions as t on cc.number = t.number
where 1=1
  and cc.type = 'visa' 
  and t.datetime >= '2017-12-25 00:00:00.000000' 
  and t.datetime < '2017-12-26 00:00:00.000000' 
group by 1
;",,,"select j.first_name, j.last_name
from (
	 select c.ssn, c.first_name, c.last_name
	 from customers c
	 inner join credit_cards cc on c.ssn = cc.ssn
	 where 1=1 
	   and c.country = 'Singapore'
	   and cc.type = 'jcb'
	 group by 1,2,3
) as j
inner join (
	 select c.ssn, c.first_name, c.last_name
	 from customers c
	 inner join credit_cards cc on c.ssn = cc.ssn
	 where 1=1
	   and c.country = 'Singapore'
	   and cc.type = 'visa'
	 group by 1,2,3
) as v
on (j.ssn = v.ssn and j.first_name = v.first_name and j.last_name = v.last_name)",,,"select c.ssn as ssn, count(*) as cnt
from customers c  
left join credit_cards cc on c.ssn = cc.ssn  
where 1=1  
  and cc.ssn is not null
group by 1
union
select c.ssn as ssn, 0 as cnt
from customers c  
left join credit_cards cc on c.ssn = cc.ssn  
where 1=1  
  and cc.ssn is null
group by 1
;",,,"select c.ssn, cc.type, count(*) as cnt
from customers as c
left join credit_cards cc on c.ssn = cc.ssn
where 1=1
  and cc.ssn is not null
group by 1,2
union
select c.ssn, cc.type, 0 as cnt
from customers as c
left join credit_cards cc on c.ssn = cc.ssn
where 1=1
  and cc.ssn is null
group by 1,2
;",,,"select c.country as cntr_c
	 , count(distinct c.ssn) as cnt
from transactions t
inner join credit_cards cc on cc.number = t.number
inner join merchants m on m.code = t.code
inner join customers c on c.ssn = cc.ssn
where 1=1
  and c.country != m.country
group by 1
order by 1
;",,,"select cc.type, count(distinct t.identifier) as cnt
from transactions as t
inner join credit_cards as cc on cc.number = t.number 
group by 1
limit 1",,,"select t.identifier 
from (
	select cc.type, t.identifier
	from transactions as t
	inner join credit_cards as cc on cc.number = t.number 
	order by 1
	limit 1
) t",,,"select m.code, m.name
from transactions t 
inner join merchants m on m.code = t.code
inner join credit_cards cc on cc.number = t.number
where 1=1
  and (cc.type like '%visa%' or cc.type like '%diners-club%')
group by 1,2
having max(t.amount) < 888
;",,
A0231891A,"select 
  distinct cc.ssn 
from 
  credit_cards cc, 
  transactions t 
where 
  cc.number = t.number 
  and t.datetime BETWEEN TIMESTAMP '2017-12-25 00:00:00' 
  AND TIMESTAMP '2017-12-25 23:59:59' 
  and cc.type = 'visa';",,,"select a.first_name, a.last_name
from
	(select cc.ssn, c.first_name, c.last_name
	from customers c, credit_cards cc
	where c.ssn = cc.ssn
	and c.country = 'Singapore'
	and cc.type = 'jcb'
	group by cc.ssn, c.first_name, c.last_name
	intersect 
	select cc.ssn, c.first_name, c.last_name
	from customers c, credit_cards cc
	where c.ssn = cc.ssn
	and c.country = 'Singapore'
	and cc.type = 'visa'
	group by cc.ssn, c.first_name, c.last_name) a;",,,"select c.ssn, count(cc.number)
from customers c 
left outer join credit_cards cc 
on cc.ssn = c.ssn
group by c.ssn
order by c.ssn Asc, count Asc;",,,"select c.ssn, c.type, count(cc.number)
from( 
	(select ssn
	from customers) a
	cross join
	(select distinct type 
	from credit_cards) b
	) c
left join credit_cards cc 
on (cc.type, cc.ssn) =  (c.type, c.ssn)
group by c.ssn, c.type
order by c.ssn Asc, c.type Asc;",,,"select c.country, count(distinct c.ssn)
from customers c, merchants m, credit_cards cc, transactions t
where c.ssn = cc.ssn 
and cc.number = t.number
and t.code = m.code
and c.country <>m.country
group by c.country",,,"SELECT cc1.type, t1.identifier
from transactions t1, credit_cards cc1
where cc1.number = t1.number
and (cc1.type, t1.amount) in
	(SELECT cc2.type, max(t2.amount)
	from transactions t2, credit_cards cc2
	where  cc2.number = t2.number
	group by cc2.type)
order by cc1.type ASC, t1.identifier ASC;",,,"SELECT distinct cc1.type, t1.identifier
from credit_cards cc1, transactions t1
where cc1.number = t1.number
and t1.amount >= all(
	select t2.amount
	from credit_cards cc2, transactions t2
	where cc2.number = t2.number
	and cc1.type = cc2.type)
order by cc1.type ASC, t1.identifier ASC;",,,"select m.code, m.name
from merchants m 
except
select m.code, m.name
from transactions t, credit_cards cc, merchants m
where t.number = cc.number
and m.code = t.code 
and (cc.type like '%visa%' or cc.type like '%diners-club%')
and t.amount >= 888","Missing semicolon, CHECK CODE.","Missing semicolon, CHECK CODE."
A0231894X,"SELECT DISTINCT cu.ssn 
FROM customers cu, transactions t, credit_cards cc 
WHERE cu.ssn = cc.ssn 
AND cc.number = t.number 
AND t.datetime BETWEEN '2017-12-25' AND '2017-12-26' 
AND cc.type = 'visa';",,,"SELECT cu.first_name, cu.last_name 
FROM customers cu
WHERE cu.ssn = ANY(
	SELECT cc1.ssn 
	FROM credit_cards cc1, credit_cards cc2 
	WHERE cu.country = 'Singapore' 
	AND cc1.ssn = cc2.ssn 
	AND cc1.ssn = cu.ssn 
	AND cc1.type = 'visa' 
	AND cc2.type = 'jcb' 
);",,,"SELECT cu.ssn, COUNT(cc.number) 
FROM customers cu LEFT OUTER JOIN credit_cards cc 
ON cu.ssn = cc.ssn 
GROUP BY cu.ssn ;",,,"SELECT t2.ssn, t2.type, CASE WHEN t3.count ISNULL THEN 0 ELSE t3.count END AS t
FROM (
	SELECT cu.ssn, t1.type FROM customers cu, (
		SELECT DISTINCT type FROM credit_cards
	) AS t1
) AS t2 
LEFT OUTER JOIN (
	SELECT cu.ssn, cc.type, COUNT(cc.number) AS count
	FROM customers cu LEFT OUTER JOIN credit_cards cc
	ON cu.ssn = cc.ssn
	GROUP BY cu.ssn, cc.type
) AS t3
ON t2.ssn = t3.ssn
AND t2.type = t3.type;",,,"SELECT cu.country, COUNT(DISTINCT cc.ssn) 
FROM customers cu, credit_cards cc, merchants m, transactions t 
WHERE cu.ssn = cc.ssn 
AND cc.number = t.number 
AND m.code = t.code 
AND cu.country <> m.country 
GROUP BY cu.country;",,,"SELECT cc.type, t.identifier, t.amount 
FROM credit_cards cc, transactions t, (
	SELECT cc.type, MAX(t.amount) AS amount
	FROM credit_cards cc, transactions t 
	WHERE cc.number = t.number 
	GROUP BY cc.type 
) AS max_amount 
WHERE t.amount = max_amount.amount 
AND cc.type = max_amount.type 
AND cc.number = t.number;",,,"SELECT cc1.type, t1.identifier, t1.amount 
FROM credit_cards cc1, transactions t1 
WHERE cc1.number = t1.number
AND NOT EXISTS (
	SELECT *
	FROM credit_cards cc2, transactions t2 
	WHERE t1.amount < t2.amount 
	AND cc2.number = t2.number 
	AND cc1.type = cc2.type
);",,,"SELECT m.code, m.name 
FROM merchants m 
WHERE m.code NOT IN (
	SELECT m.code
	FROM merchants m, transactions t, credit_cards cc 
	WHERE cc.number = t.number 
	AND m.code = t.code 
	AND (cc.type LIKE 'visa%' OR cc.type LIKE 'diners-club%')
	AND t.amount >= 888 
);",,
A0231902R,"select c.ssn
from customers c, credit_cards cc, transactions t
where c.ssn = cc.ssn
and cc.number = t.number
and t.datetime >= '2017-12-24'
and t.datetime < '2017-12-25'
and cc.type = 'visa';",,,"select distinct c.first_name, c.last_name
from customers c, credit_cards cc
where c.ssn = cc.ssn
and cc.type = 'jcb' 
or cc.type = 'visa'
;",,,"select c.ssn, count(cc.type) as num
from customers c, credit_cards cc
where c.ssn = cc.ssn
group by c.ssn
union
select ssn, 0 as num
from customers
where ssn not in (
select distinct ssn
from credit_cards)
;",,,"select a.ssn,a.type,case when num is not null then num else 0 end as num
from 
(select distinct c.ssn,cc.type
from customers c, credit_cards cc) a
left join 
(select c.ssn,type,count(cc.type) as num
from customers c, credit_cards cc
where c.ssn = cc.ssn
group by c.ssn,type) b
on a.ssn=b.ssn
and a.type=b.type;",,,"select c.country, count(*) as num
from customers c
where exists(
select c.ssn
from customers c, credit_cards cc, merchants m, transactions t
where c.ssn = cc.ssn
and cc.number = t.number
and t.code = m.code
and c.country <> m.country)
group by c.country;",,,"select identifier,a.amount
from (select type,amount,identifier
from transactions t,credit_cards cc
where t.number=cc.number) a,
(select type,max(amount) as amount
from transactions t,credit_cards cc
where t.number=cc.number
group by type) b
where a.type=b.type
and a.amount=b.amount;",,,"select a.identifier
from 
(select identifier,type,amount
from transactions t,credit_cards cc
where t.number=cc.number)  a
where amount >= all (select amount
from transactions t,credit_cards cc
where t.number=cc.number
and type=a.type);",,,"select code,name
from merchants
where code not in (
select m.code
from merchants m,transactions t,credit_cards cc
where m.code=t.code
and cc.number=t.number
and type in (
select distinct type
from credit_cards
where type like 'diners-club%'
or type like 'visa%'
)
group by m.code
having max(amount)>=888);",,
A0231904M,"SELECT DISTINCT c.ssn
FROM customers AS c, credit_cards AS card, transactions AS t
WHERE c.ssn = card.ssn AND card.number = t.number
AND card.type = 'visa' 
AND t.datetime BETWEEN '2017-12-25' AND '2017-12-26';",,,"SELECT temp.first_name, temp.last_name
FROM (SELECT c.ssn, c.first_name, c.last_name
	    FROM customers AS c, credit_cards AS cards
		WHERE c.ssn = cards.ssn
		AND c.country = 'Singapore'
		AND cards.type = ('visa')
		INTERSECT
		SELECT c.ssn, c.first_name, c.last_name
		FROM customers AS c, credit_cards AS cards
		WHERE c.ssn = cards.ssn
		AND c.country = 'Singapore'
		AND cards.type = ('jcb')) AS temp
ORDER BY temp.first_name;",,,"SELECT c.ssn, COUNT(cards.number)
FROM customers AS c
LEFT JOIN credit_cards AS cards ON c.ssn = cards.ssn
GROUP BY c.ssn
ORDER BY COUNT(cards.number);",,,"SELECT temp1.ssn, temp2.type, COUNT(cards.number)
FROM (SELECT DISTINCT c.ssn
	  FROM customers AS c) AS temp1
	  CROSS JOIN
	  (SELECT DISTINCT cards.type
	  FROM credit_cards AS cards) AS temp2
LEFT JOIN credit_cards AS cards 
ON temp1.ssn = cards.ssn AND temp2.type = cards.type
GROUP BY temp1.ssn, temp2.type
ORDER BY temp1.ssn, temp2.type;",,,"SELECT c.country, COUNT (DISTINCT c.ssn)
FROM customers AS c, credit_cards AS card, 
     merchants AS m, transactions AS t
WHERE c.ssn = card.ssn AND card.number = t.number AND
      t.code = m.code
AND c.country != m.country
GROUP BY c.country;",,,"SELECT t.identifier
FROM transactions AS t, credit_cards AS cards, 
     (SELECT cards.type, MAX(amount) AS max_amount
		FROM transactions AS t, credit_cards AS cards
		WHERE t.number = cards.number
		GROUP BY cards.type) AS temp
WHERE t.number = cards.number
AND   t.amount = max_amount 
AND   cards.type = temp.type;",,,"SELECT t.identifier
FROM transactions AS t, credit_cards AS cards
WHERE t.number = cards.number
AND t.amount >= ALL(
		SELECT t2.amount
		FROM transactions AS t2, credit_cards AS cards2
		WHERE t2.number = cards2.number
		AND   cards.type = cards2.type);",,,"SELECT m.code, m.name
FROM merchants AS m, transactions AS t, credit_cards AS cards
WHERE m.code = t.code AND t.number = cards.number
EXCEPT
SELECT m.code, m.name
FROM merchants AS m, transactions AS t, credit_cards AS cards
WHERE m.code = t.code AND t.number = cards.number
AND (cards.type LIKE '%visa%' OR cards.type LIKE '%diners-club%')
AND t.amount >= 888
ORDER BY code;",,
A0231905L,"SELECT 
  DISTINCT cc.ssn 
FROM 
  credit_cards cc, 
  transactions tr 
WHERE 
  cc.number = tr.number 
  AND cc.type = 'visa' 
  AND tr.datetime :: date = '2017-12-25';",,,"SELECT 
  cu_names.first_name, 
  cu_names.last_name 
FROM 
  (
    SELECT 
      cu.first_name, 
      cu.last_name, 
      cu.ssn 
    FROM 
      customers cu, 
      credit_cards cc 
    WHERE 
      cu.ssn = cc.ssn 
      AND cu.country = 'Singapore' 
      AND cc.type = 'visa' 
    INTERSECT 
    SELECT 
      cu.first_name, 
      cu.last_name, 
      cu.ssn 
    FROM 
      customers cu, 
      credit_cards cc 
    WHERE 
      cu.ssn = cc.ssn 
      AND cu.country = 'Singapore' 
      AND cc.type = 'jcb'
  ) AS cu_names;",,,"SELECT 
  cu.ssn, 
  COUNT(cc.number) 
FROM 
  customers cu 
  LEFT JOIN credit_cards cc ON cu.ssn = cc.ssn 
GROUP BY 
  cu.ssn;",,,"SELECT 
  cc_list.ssn, 
  cc_list.type, 
  COALESCE (cc_count.card_count, 0) 
FROM 
  (
    SELECT 
      DISTINCT cc.type, 
      cu.ssn 
    FROM 
      customers cu, 
      credit_cards cc
  ) AS cc_list 
  LEFT JOIN (
    SELECT 
      cu.ssn, 
      cc.type, 
      COUNT(cc.number) AS card_count 
    FROM 
      customers cu 
      LEFT JOIN credit_cards cc ON cu.ssn = cc.ssn 
    GROUP BY 
      cu.ssn, 
      cc.type
  ) AS cc_count ON cc_count.ssn = cc_list.ssn 
  AND cc_count.type = cc_list.type 
ORDER BY 
  cc_list.ssn;",,,"SELECT 
  cu.country, 
  COUNT (DISTINCT cu.ssn) 
FROM 
  customers cu, 
  credit_cards cc, 
  transactions tr, 
  merchants me 
WHERE 
  cu.ssn = cc.ssn 
  AND cc.number = tr.number 
  AND tr.code = me.code 
  AND cu.country <> me.country 
GROUP BY 
  cu.country;",,,"SELECT 
  t.identifier 
FROM 
  transactions t, 
  credit_cards c, 
  (
    SELECT 
      cc.type, 
      MAX (tr.amount) AS maximum_amount 
    FROM 
      credit_cards cc, 
      transactions tr 
    WHERE 
      cc.number = tr.number 
    GROUP BY 
      cc.type
  ) as max_amounts 
WHERE 
  t.amount = max_amounts.maximum_amount 
  AND c.number = t.number 
  AND c.type = max_amounts.type;",,,"SELECT 
  tr.identifier
FROM 
  transactions tr, 
  credit_cards cc 
WHERE 
  tr.number = cc.number 
  AND NOT EXISTS (
    SELECT 
      1 
    FROM 
      transactions tr2, 
      credit_cards cc2 
    WHERE 
      cc2.number = tr2.number 
      AND tr2.amount > tr.amount 
      AND cc2.type = cc.type
  );",,,"SELECT 
  me.code, 
  me.name 
FROM 
  merchants me 
EXCEPT 
SELECT 
  me.code, 
  me.name 
FROM 
  merchants me, 
  transactions tr, 
  credit_cards cc 
WHERE 
  me.code = tr.code 
  AND tr.number = cc.number 
  AND tr.amount >= 888 
  AND (
    cc.type LIKE 'visa%' 
    OR cc.type LIKE 'diners-club%'
  );",,
